Rank,Player,Team,Positions,Best,Worst,Avg,Std Dev,ADP,vs. ADP
1,Ronald Acuna Jr.,ATL,RF,1,1,1.0,0.0,1.0,-
2,Bobby Witt Jr.,KC,SS,2,12,3.0,1.4,3.0,+1.0
3,Julio Rodriguez,SEA,CF,2,8,3.1,0.9,6.0,+3.0
4,Corbin Carroll,ARI,"LF,CF,RF",2,9,4.7,1.5,5.0,+1.0
5,Mookie Betts,LAD,"2B,SS,RF",2,10,4.8,1.7,2.0,-3.0
6,Kyle Tucker,HOU,RF,3,15,6.7,1.3,4.0,-2.0
7,Freddie Freeman,LAD,1B,2,17,9.0,2.0,7.0,-
8,Fernando Tatis Jr.,SD,RF,4,29,9.2,4.3,11.0,+3.0
9,Aaron Judge,NYY,"CF,RF,DH",2,15,9.6,2.6,9.0,-
10,Juan Soto,NYY,LF,4,18,9.9,2.1,8.0,-2.0
11,Spencer Strider,ATL,SP,4,29,11.1,3.8,10.0,-1.0
12,Shohei Ohtani,LAD,DH,11,17,13.3,0.3,,
13,Trea Turner,PHI,SS,6,28,13.4,3.7,17.0,+4.0
14,Jose Ramirez,CLE,"3B,DH",9,22,13.9,2.4,14.0,-
15,Matt Olson,ATL,1B,7,18,14.4,2.0,15.0,-
16,Yordan Alvarez,HOU,"LF,DH",12,21,15.6,2.1,16.0,-
17,Gerrit Cole,NYY,SP,10,30,16.2,3.3,13.0,-4.0
18,Bryce Harper,PHI,"1B,DH",14,27,18.2,2.0,21.0,+3.0
19,Austin Riley,ATL,3B,12,23,18.9,1.3,18.0,-1.0
20,Rafael Devers,BOS,3B,18,27,21.0,2.1,20.0,-
21,Corey Seager,TEX,SS,12,38,24.1,6.7,23.0,+2.0
22,Pete Alonso,NYM,1B,16,44,24.4,2.9,27.0,+5.0
23,Ozzie Albies,ATL,2B,14,42,24.8,4.9,22.0,-1.0
24,Marcus Semien,TEX,2B,13,40,25.0,4.8,25.0,+1.0
25,Corbin Burnes,BAL,SP,13,39,25.2,3.1,19.0,-6.0
26,Francisco Lindor,NYM,SS,13,44,25.4,5.5,29.0,+3.0
27,Zack Wheeler,PHI,SP,19,50,27.2,3.6,26.0,-1.0
28,Vladimir Guerrero Jr.,TOR,"1B,DH",20,41,28.5,5.2,24.0,-4.0
29,Luis Robert Jr.,CWS,CF,22,40,29.5,4.3,36.0,+7.0
30,Kevin Gausman,TOR,SP,13,49,30.0,5.4,28.0,-2.0
31,Michael Harris II,ATL,CF,24,42,32.2,3.8,33.0,+2.0
32,Luis Castillo,SEA,SP,24,50,33.3,6.5,30.0,-2.0
33,Bo Bichette,TOR,SS,25,47,34.1,4.2,37.0,+4.0
34,Gunnar Henderson,BAL,"3B,SS",25,53,34.6,5.2,31.0,-3.0
35,Jose Altuve,HOU,2B,23,53,36.3,5.4,34.0,-1.0
36,Pablo Lopez,MIN,SP,25,65,37.9,4.9,35.0,-1.0
37,Randy Arozarena,TB,LF,20,52,38.1,5.5,43.0,+6.0
38,Elly De La Cruz,CIN,"3B,SS",20,81,38.2,9.0,39.0,+1.0
39,Adolis Garcia,TEX,"CF,RF",23,69,39.8,4.9,44.0,+5.0
40,George Kirby,SEA,SP,27,76,41.0,8.7,40.0,-
41,Zac Gallen,ARI,SP,30,75,42.1,6.9,32.0,-9.0
42,CJ Abrams,WSH,SS,15,93,46.5,11.8,58.0,+16.0
43,Tyler Glasnow,LAD,SP,25,107,47.6,11.4,41.0,-2.0
44,Tarik Skubal,DET,SP,38,106,50.0,8.1,49.0,+5.0
45,Yoshinobu Yamamoto,LAD,SP,35,123,50.4,10.8,47.0,+2.0
46,Manny Machado,SD,"3B,DH",29,79,50.6,7.8,50.0,+4.0
47,Mike Trout,LAA,CF,30,92,53.2,10.6,53.0,+6.0
48,Nolan Jones,COL,"1B,LF,RF",39,68,53.2,8.2,66.0,+18.0
49,Paul Goldschmidt,STL,"1B,DH",30,77,53.3,11.5,64.0,+15.0
50,Aaron Nola,PHI,SP,27,78,53.4,9.7,42.0,-8.0
51,Logan Webb,SF,SP,38,65,55.0,5.2,48.0,-3.0
52,Adley Rutschman,BAL,"C,DH",40,100,55.9,9.3,38.0,-14.0
53,Devin Williams,MIL,RP,34,263,56.3,10.8,46.0,-7.0
54,Framber Valdez,HOU,SP,36,94,56.5,10.6,51.0,-3.0
55,Jazz Chisholm Jr.,MIA,CF,27,103,57.0,11.1,81.0,+26.0
56,Royce Lewis,MIN,3B,41,92,57.0,10.8,65.0,+9.0
57,Cody Bellinger,,"1B,CF ",25,89,57.2,13.1,52.0,-5.0
58,Freddy Peralta,MIL,SP,45,100,57.6,8.8,54.0,-4.0
59,Max Fried,ATL,SP,39,88,57.9,8.2,45.0,-14.0
60,Matt McLain,CIN,"2B,SS",41,117,58.4,13.9,63.0,+3.0
61,Josh Hader,HOU,RP,39,265,61.1,16.1,56.0,-5.0
62,Christian Yelich,MIL,"LF,DH",37,86,64.9,7.3,72.0,+10.0
63,Oneil Cruz,PIT,SS,38,94,65.4,9.4,85.0,+22.0
64,Kodai Senga,NYM,SP,48,96,66.1,10.7,61.0,-3.0
65,Edwin Diaz,NYM,RP,42,269,66.8,22.8,60.0,-5.0
66,Logan Gilbert,SEA,SP,49,96,68.7,11.3,67.0,+1.0
67,Nico Hoerner,CHC,"2B,SS",34,105,69.0,15.5,57.0,-10.0
68,Blake Snell,,SP ,44,114,69.2,12.9,55.0,-13.0
69,Emmanuel Clase,CLE,RP,36,264,69.7,12.1,59.0,-10.0
70,Josh Lowe,TB,"CF,RF,DH",40,108,70.7,11.7,92.0,+22.0
71,Kyle Schwarber,PHI,"LF,DH",44,113,72.8,17.0,62.0,-9.0
72,Christian Walker,ARI,1B,48,145,75.3,10.0,79.0,+7.0
73,Zach Eflin,TB,SP,40,106,76.6,12.6,76.0,+3.0
74,J.T. Realmuto,PHI,C,52,105,77.0,8.0,74.0,-
75,Jhoan Duran,MIN,RP,46,266,78.7,16.7,75.0,-
76,Alex Bregman,HOU,3B,53,109,79.7,12.3,68.0,-8.0
77,Bryan Reynolds,PIT,"LF,CF",40,109,80.9,10.9,80.0,+3.0
78,Gleyber Torres,NYY,2B,66,134,81.9,13.5,89.0,+11.0
79,Will Smith,LAD,C,62,106,82.3,9.0,70.0,-9.0
80,Nolan Arenado,STL,3B,52,153,82.5,8.5,77.0,-3.0
81,Grayson Rodriguez,BAL,SP,44,144,82.6,17.0,69.0,-12.0
82,Eury Perez,MIA,SP,57,150,84.5,20.3,99.0,+17.0
83,Triston Casas,BOS,1B,52,113,84.8,10.9,98.0,+15.0
84,Camilo Doval,SF,RP,53,267,85.3,26.2,71.0,-13.0
85,Bobby Miller,LAD,SP,61,138,85.7,16.4,84.0,-1.0
86,William Contreras,MIL,"C,DH",47,164,87.8,17.1,73.0,-13.0
87,Jesus Luzardo,MIA,SP,57,107,89.0,8.7,78.0,-9.0
88,Ha-Seong Kim,SD,"2B,3B,SS",63,184,91.6,31.4,82.0,-6.0
89,Josh Jung,TEX,3B,73,168,92.7,16.0,113.0,+24.0
90,Joe Ryan,MIN,SP,60,134,92.8,15.3,90.0,-
91,Raisel Iglesias,ATL,RP,54,271,95.6,22.1,83.0,-8.0
92,Jordan Romano,TOR,RP,56,268,95.9,16.9,86.0,-6.0
93,David Bednar,PIT,RP,57,270,96.5,18.1,87.0,-6.0
94,Nick Castellanos,PHI,RF,71,184,97.2,13.9,101.0,+7.0
95,Xander Bogaerts,SD,SS,62,166,97.4,15.2,97.0,+2.0
