Name,Position,Service Time
Pete Alonso,1B,5
Nolan Gorman,2B,2
Aaron Judge,OF,7
Luis Castillo,SP,7
Brandon Pfaadt,SP,1
Max Fried,SP,6
Hunter Greene,SP,1
Jonah Heim	,C,3
Andres Gimenez,2B,3
Isaac Paredes	,"1B, 3B",3
Willy Adames,SS,7
Nick Castellanos,OF,11
Alex Verdugo,OF,5
Jarred Kelenic,OF,3
Ryan McMahon,OF,6
Teoscar Hernandez,OF,7
Matt Mervis,1B,0
Miguel Vargas,"2B, 3B",1
Patrick Sandoval,SP,5
Tyler Wells,"SP, RP",3
David Bednar,RP,3
Paul Sewald,RP,6
Jeffrey Springs,SP,6
DL Hall,RP,1
Jackson Holliday,SS,0
Shota Imanaga,SP,1
Justin Verlander,SP,17
Gerrit Cole,SP,10
