Sportsbook,ActualPayout
Barstool,4.25
BetMGM,1.5
DraftKings,95.02
FanDuel,187.25

Sport,ActualPayout
Baseball,1.5
Basketball,34.99
College Basketball,56.13
College Football,4.78
Cricket,0.0
Football,177.54
Hockey,12.43
Soccer,-0.03
Tennis,0.68

System,ActualPayout
538,0.0
>-215 line,40.22
CBS,13.35
Engelstad,0.05
Hedge,-0.7
Internet,40.58
Intuition,-13.37
KenPom,5.2
KillerSports,0.78
Laghezza,0.0
Mr Over Under NBA Daily Method,0.13
ParlayIQ,59.54
Poisson,-0.08
Promo,153.04
Sam Wolff system,-0.4
Sheehan Newsletter,-10.32

BetType,ActualPayout
Free,0.0
Futures,35.23
Moneyline,94.98
Over/Under,2.4
Parlay,-0.41
Prop,167.83
Spread,-0.01
Teaser,-12.0

Date,ActualPayout
2022-09,37.46
2022-10,-20.0
2022-11,37.91
2022-12,176.14
2023-01,0.01
2023-02,57.5
2023-03,-1.0

FreeBet,ActualPayout
N,132.26
Y,155.76

FreeBet,Amount
N,165.33
Y,562.9

BetType,Amount
Free,50.0
Futures,310.33
Moneyline,155.88
Over/Under,1.92
Parlay,92.57
Prop,98.96
Spread,6.57
Teaser,12.0

Sport,Amount
Baseball,53.5
Basketball,216.12
College Basketball,85.07
College Football,7.09
Cricket,10.0
Football,275.78
Hockey,67.65
Soccer,12.52
Tennis,0.5

Sportsbook,Amount
Barstool,24.82
BetMGM,285.0
DraftKings,174.81
FanDuel,243.6

