Date,Sport,System,Notes,Pick,BetType,FreeBet,Amount,Odds,Result,PushAmount,Group
2023-10-22,Football,Laghezza,,Darnell Mooney - 4 rec,Prop,N,0.4,360,W,,1022 Darnell Mooney
2023-10-22,Football,Laghezza,,Darnell Mooney - 5 rec,Prop,N,0.2,925,L,,1022 Darnell Mooney
2023-10-22,Football,Laghezza,,Darnell Mooney - 6 rec,Prop,N,0.2,1600,L,,1022 Darnell Mooney
2023-10-22,Football,Laghezza,,Mark Andrews - 6 rec,Prop,N,0.6,185,L,,1022 Mark Andrews
2023-10-22,Football,Laghezza,,Mark Andrews - 7 rec,Prop,N,0.2,360,L,,1022 Mark Andrews
2023-10-22,Football,Laghezza,,Mark Andrews - 8 rec,Prop,N,0.2,700,L,,1022 Mark Andrews
2023-10-22,Football,Laghezza,,Michael Mayer - 5 rec,Prop,N,0.2,310,L,,1022 Michael Mayer
2023-10-22,Football,Laghezza,,Michael Mayer - 6 rec,Prop,N,0.2,550,L,,1022 Michael Mayer
2023-10-22,Football,Laghezza,,Luke Musgrave - 5 rec,Prop,N,0.4,280,L,,1022 Luke Musgrave
2023-10-22,Football,Laghezza,,Luke Musgrave - 6 rec,Prop,N,0.2,600,L,,1022 Luke Musgrave
2023-10-22,Football,Laghezza,,Luke Musgrave - 7 rec,Prop,N,0.2,1425,L,,1022 Luke Musgrave
2023-10-29,Football,Laghezza,,Tyler Conklin - 5 rec,Prop,N,0.2,330,L,,1029 Tyler Conklin
2023-10-29,Football,Laghezza,,Tyler Conklin - 6 rec,Prop,N,0.2,725,L,,1029 Tyler Conklin
2023-10-29,Football,Laghezza,,Odell Beckham - 5 rec,Prop,N,0.2,450,L,,1029 Odell Beckham
2023-10-29,Football,Laghezza,,Odell Beckham - 6 rec,Prop,N,0.2,1075,L,,1029 Odell Beckham
2023-10-29,Football,Laghezza,,Darnell Mooney - 4 rec,Prop,N,0.4,215,L,,1029 Darnell Mooney
2023-10-29,Football,Laghezza,,Darnell Mooney - 5 rec,Prop,N,0.2,500,L,,1029 Darnell Mooney
2023-10-29,Football,Laghezza,,Darnell Mooney - 6 rec,Prop,N,0.2,1125,L,,1029 Darnell Mooney
2023-10-29,Football,Laghezza,,Michael Gallup - 6 rec,Prop,N,0.2,725,L,,1029 Michael Gallup
2023-10-29,Football,Laghezza,,Emari Demarcado - 5 rec,Prop,N,0.2,825,L,,1029 Emari Demarcado
2023-10-29,Football,Laghezza,,Cam Akers - 4 rec,Prop,N,0.2,1225,L,,1029 Cam Akers
2023-10-29,Football,Laghezza,,Breece Hall - 5 rec,Prop,N,0.2,525,W,,1029 Breece Hall
2023-10-29,Football,Laghezza,,Demario Douglas - 5 rec,Prop,N,0.2,550,W,,1029 Demario Douglas
2023-10-29,Football,Laghezza,,Jauan Jennings - 5 rec,Prop,N,0.2,525,L,,1029 Jauan Jennings
2023-10-29,Football,Laghezza,,Roschon Johnson - 4 rec,Prop,N,0.4,360,L,,1029 Roschon Johnson
2023-10-29,Football,Laghezza,,Roschon Johnson - 5 rec,Prop,N,0.2,925,L,,1029 Roschon Johnson
2023-10-29,Football,Laghezza,,Roschon Johnson - 6 rec,Prop,N,0.2,1600,L,,1029 Roschon Johnson
2023-11-06,Football,Laghezza,,Breece Hall - 5 rec,Prop,N,0.2,360,L,,1106 Breece Hall
