ROI By Sport
Sport,Profit,MoneyRisked,ROI
Basketball,$50.60,$84.00,60.24
Football,$6.36,$20.70,30.72
Hockey,$0.67,$1.00,67.0
NCAAB,$1.25,$35.00,3.57
Soccer,$0.00,$1.00,0.0

Profit by Sport
Sport,Profit
Basketball,$50.60
Football,$6.36
Hockey,$0.67
NCAAB,$1.25
Soccer,$0.00

Risk by Sport
Sport,MoneyRisked
Basketball,84.0
Football,20.7
Hockey,1.0
NCAAB,35.0
Soccer,1.0

Profit by Month
Date,Profit
2023-10,$-1.41
2023-11,$11.69
2023-12,$48.60

Profit by System
System,Profit
CNM,$49.47
GameDay Math,$1.25
GameDay Math	,$1.05
Intuition,$2.75
Laghezza,$-2.01
Outlier,$3.70
Parlay IQ,$1.05
ParlayIQ,$0.95
Plus EV,$0.67

Profit by Bet Type
BetType,Profit
Moneyline,$4.00
Over/Under,$0.67
Prop,$53.16
Spread,$1.05

Risk by Bet Type
BetType,MoneyRisked
Moneyline,73.0
Over/Under,2.0
Prop,65.7
Spread,1.0

Total ROI
TotalWon,TotalRisked,TotalROI
58.88,141.7,41.55

Total Win Percentage
TotalBetsWon,TotalBetsLost,gamblerzscore,winning_pct
14,44,-3.94,24.14

Profit by Free Bet vs. Money Bet
FreeBet,Profit
N,$-2.01
Y,$60.89

Risk by Free Bet vs. Money Bet
FreeBet,MoneyRisked
N,7.2
Y,134.5

