Date,Sportsbook,Sport,System,Notes,Pick,FreeBet,Amount,Odds,Result,PushAmount,bet_group,CleanedOdds,PotentialProfit,PotentialPayout,ImpliedProbability,Expected Value,ActualPayout
2022-09-01,FanDuel,Football,Internet,,Jaguars over 6.5 Wins 2022-23,Y,10.0,115.0,W,,,115.0,11.5,11.5,47.0,-0.3,11.5
2022-09-01,FanDuel,Football,Internet,,Chiefs over 10.5 Wins Wins 2022-23,Y,10.0,-115.0,W,,,115.0,8.7,8.7,53.0,1.3,8.7
2022-09-01,FanDuel,Football,Internet,,Lions over 6.5 Wins 2022-23,Y,10.0,-125.0,W,,,125.0,8.0,8.0,56.0,1.6,8.0
2022-09-01,FanDuel,Football,Internet,,AFC Champion 2023- Chiefs,Y,20.0,1000.0,C,9.26,,1000.0,200.0,200.0,9.0,-16.2,9.26
2022-09-01,FanDuel,Basketball,Internet,,Western Conference Champion- Golden State Warriors,Y,10.0,320.0,L,,,320.0,32.0,32.0,24.0,-4.6,0.0
2022-09-01,FanDuel,Basketball,Internet,,MVP- Luka Doncic,Y,10.0,450.0,L,,,450.0,45.0,45.0,18.0,-6.2,0.0
2022-10-15,FanDuel,Baseball,Sheehan Newsletter,,NL Division Series Champion- Braves,N,10.0,120.0,L,,,120.0,12.0,22.0,45.0,-0.5,-10.0
2022-10-15,FanDuel,Baseball,Sheehan Newsletter,,NL Champion- Dodgers,Y,10.0,300.0,L,,,300.0,30.0,30.0,25.0,-4.5,0.0
2022-10-18,FanDuel,Baseball,Sheehan Newsletter,,AL Champion- Yankees,Y,10.0,480.0,L,,,480.0,48.0,48.0,17.0,-6.3,0.0
2022-10-20,BetMGM,Basketball,Internet,,New Orleans Pelicans over 45.5 wins,N,10.0,100.0,L,,,100.0,10.0,20.0,50.0,0.0,-10.0
2022-10-20,BetMGM,Basketball,Internet,,NBA Champion- Golden State Warriors,Y,5.0,600.0,L,,,600.0,30.0,30.0,14.0,-3.3,0.0
2022-10-29,BetMGM,Hockey,538,,NHL Champion- Avalanche,Y,50.0,425.0,L,,2023 NHL Champion,425.0,212.5,212.5,19.0,-30.5,0.0
2022-10-29,BetMGM,Basketball,538,,NBA Finals Matchup- Celtics and Nuggets,Y,50.0,3000.0,L,,,3000.0,1500.0,1500.0,3.0,-46.5,0.0
2022-11-05,BetMGM,Baseball,Internet,,MLB Champion- Houston Astros,Y,10.0,115.0,W,,,115.0,11.5,11.5,47.0,-0.3,11.5
2022-11-09,Barstool,Football,Internet,The Athletic,MVP- Tua Tagavailoa,N,2.5,1100.0,C,1.92,,1100.0,27.5,30.0,8.0,-1.3,1.92
2022-11-10,FanDuel,Cricket,Intuition,,World Cup Champion- India,Y,10.0,300.0,L,,,300.0,30.0,30.0,25.0,-4.5,0.0
2022-11-13,Barstool,Soccer,Sheehan Newsletter,,World Cup Champion- Uruguay,N,0.27,5000.0,C,0.27,,5000.0,13.5,13.77,2.0,0.74,0.27
2022-11-13,Barstool,College Basketball,Sheehan Newsletter,,ACC Champion- Georgia Tech,N,0.5,15000.0,L,,2023 NCAAB ACC Basketball Champion,15000.0,75.0,75.5,1.0,0.5,-0.5
2022-11-16,DraftKings,College Basketball,Hedge,,ACC Champion- UNC,N,0.7,150.0,L,,2023 NCAAB ACC Basketball Champion,150.0,1.05,1.75,40.0,0.58,-0.7
