,Odds,Amount,Result,Profit,Implied Probability,EV,Long Term Profit
0,-225.0,$1.75,L,$-1.75,69.00%,$-0.66,$-2.41
1,150.0,$0.20,L,$-0.20,60.00%,$-0.04,$-0.24
2,155.0,$3.95,L,$-3.95,61.00%,$-0.87,$-4.82
3,-275.0,$1.35,L,$-1.35,73.00%,$-0.62,$-1.97
4,-215.0,$0.40,L,$-0.40,68.00%,$-0.14,$-0.54
5,-295.0,$3.15,W,$1.07,75.00%,$1.59,$-1.56
6,170.0,$1.55,W,$0.91,63.00%,$1.15,$-0.40
7,160.0,$2.45,L,$-2.45,62.00%,$-0.59,$-3.04
8,-255.0,$4.75,W,$1.86,72.00%,$2.67,$-2.08
9,-210.0,$4.55,W,$2.17,68.00%,$2.93,$-1.62
10,120.0,$0.40,W,$0.33,55.00%,$0.36,$-0.04
11,145.0,$2.65,L,$-2.65,59.00%,$-0.48,$-3.13
12,-140.0,$0.50,W,$0.36,58.00%,$0.42,$-0.08
13,190.0,$0.30,W,$0.16,66.00%,$0.21,$-0.09
14,145.0,$4.20,W,$2.90,59.00%,$3.43,$-0.77
15,160.0,$2.10,W,$1.31,62.00%,$1.61,$-0.49
16,155.0,$0.45,W,$0.29,61.00%,$0.35,$-0.10
17,-160.0,$2.35,W,$1.47,62.00%,$1.80,$-0.55
18,-150.0,$5.00,L,$-5.00,60.00%,$-1.00,$-6.00
19,-165.0,$0.15,L,$-0.15,62.00%,$-0.04,$-0.19
20,-260.0,$0.55,W,$0.21,72.00%,$0.31,$-0.24
21,170.0,$4.35,W,$2.56,63.00%,$3.22,$-1.13
22,135.0,$0.65,W,$0.48,57.00%,$0.55,$-0.10
23,-250.0,$2.65,W,$1.06,71.00%,$1.52,$-1.13
24,-275.0,$3.75,L,$-3.75,73.00%,$-1.72,$-5.47
25,-285.0,$1.60,W,$0.56,74.00%,$0.83,$-0.77
26,155.0,$3.25,W,$2.10,61.00%,$2.55,$-0.70
27,-200.0,$1.80,W,$0.90,67.00%,$1.20,$-0.60
28,120.0,$4.45,L,$-4.45,55.00%,$-0.45,$-4.90
29,-130.0,$4.20,L,$-4.20,57.00%,$-0.59,$-4.79
30,-115.0,$3.40,W,$2.96,53.00%,$3.17,$-0.23
31,130.0,$1.50,W,$1.15,57.00%,$1.30,$-0.20
32,-285.0,$4.90,W,$1.72,74.00%,$2.55,$-2.35
33,-190.0,$2.45,W,$1.29,66.00%,$1.68,$-0.77
34,-165.0,$4.90,L,$-4.90,62.00%,$-1.18,$-6.08
35,-205.0,$2.15,W,$1.05,67.00%,$1.41,$-0.74
36,140.0,$0.25,L,$-0.25,58.00%,$-0.04,$-0.29
37,-170.0,$0.55,W,$0.32,63.00%,$0.41,$-0.14
38,-180.0,$1.70,L,$-1.70,64.00%,$-0.48,$-2.18
39,-125.0,$2.75,W,$2.20,56.00%,$2.44,$-0.31
40,-125.0,$0.20,L,$-0.20,56.00%,$-0.02,$-0.22
41,-160.0,$2.80,W,$1.75,62.00%,$2.15,$-0.65
42,120.0,$2.30,L,$-2.30,55.00%,$-0.23,$-2.53
43,110.0,$1.95,L,$-1.95,52.00%,$-0.08,$-2.03
44,105.0,$1.15,W,$1.10,51.00%,$1.12,$-0.03
45,-220.0,$0.45,L,$-0.45,69.00%,$-0.17,$-0.62
46,165.0,$1.40,L,$-1.40,62.00%,$-0.34,$-1.74
47,-180.0,$4.70,W,$2.61,64.00%,$3.36,$-1.34
48,130.0,$3.00,L,$-3.00,57.00%,$-0.42,$-3.42
49,-130.0,$4.30,L,$-4.30,57.00%,$-0.60,$-4.90
