ROI By Sport
Sport,Profit,MoneyRisked,ROI
Baseball,$-3.30,$63.70,-5.18
Basketball,"$1,553.20",$579.77,267.9
College Baseball,$-0.56,$1.10,-50.91
College Basketball,$-3.60,$17.92,-20.09
College Football,$-0.27,$0.50,-54.0
Cricket,$0.00,$10.00,0.0
Football,$49.39,$59.13,83.53
Golf,$0.51,$6.90,7.39
Hockey,$0.00,$75.00,0.0
Soccer,$0.38,$7.63,4.98

Profit by Month
Date,Profit
2022-09,$37.46
2022-10,$-20.00
2022-11,$14.26
2022-12,$5.20
2023-02,$0.00
2023-03,$-3.80
2023-04,$8.75
2023-05,"$1,552.11"
2023-06,$4.75
2023-07,$1.84
2023-08,$-1.41
2023-10,$0.10
2023-11,$0.46
2023-12,$0.98
2024-02,$-5.33
2024-03,$0.16
2024-04,$-0.11
2024-05,$0.33

ROI by Sportsbook
Sportsbook,Profit,MoneyRisked,ROI
Barstool,$8.66,$4.31,200.93
BetMGM,$5.00,$149.00,3.36
Caesars,$0.98,$1.30,75.38
DraftKings,$-3.97,$33.38,-11.89
FanDuel,"$1,576.00",$574.96,274.11
Fanatics,$0.33,$0.20,165.0
PointsBet,$8.75,$58.50,14.96

Profit by System
System,Profit
538,"$1,552.50"
Action Network,$-0.10
Bart Parry,$1.17
Bart Torvik,$-0.97
CBS,$-0.30
Data analysis,$-0.50
Discord,$0.00
Favorable odds,$0.03
Golf magazine system,$0.05
Hedge,$1.46
Internet,$42.41
Intuition,$14.21
KenPom,$4.50
Laghezza,$-1.86
NBA Advanced Stats,$0.12
Neil Greenberg,$-2.00
Neil Paine,$-0.10
Odds history,$-1.16
Positive odds,$-1.00
Promo,$0.00
Sheehan Newsletter,$-13.64
Sportsline,$1.23
Trevor May,$0.00
Wild Card Gets To World Series Angle,$-0.30

Free Bet ROI
FreeBet,Profit,MoneyRisked,ROI
N,"$1,534.21",$517.94,296.21
Y,$61.54,$303.71,20.26

Total ROI
TotalWon,TotalRisked,TotalROI
1595.75,821.65,194.21

Total Win Percentage
TotalBetsWon,TotalBetsLost,gamblerzscore,winning_pct
38,188,-9.98,13.45

