Profit by Month
Date,Profit
2023-10,$-4.05

ROI by Team
bet_group,Profit,MoneyRisked,ROI
1022 Darnell Mooney,$-0.80,$0.80,-100.0
1022 Luke Musgrave,$-0.80,$0.80,-100.0
1022 Mark Andrews,$-1.00,$1.00,-100.0
1022 Michael Mayer,$-0.40,$0.40,-100.0
1029 Breece Hall,$1.05,$0.20,525.0
1029 Cam Akers,$-0.20,$0.20,-100.0
1029 Darnell Mooney,$-0.80,$0.80,-100.0
1029 Demario Douglas,$1.10,$0.20,550.0
1029 Emari Demarcado,$-0.20,$0.20,-100.0
1029 Jauan Jennings,$-0.20,$0.20,-100.0
1029 Michael Gallup,$-0.20,$0.20,-100.0
1029 Odell Beckham,$-0.40,$0.40,-100.0
1029 Roschon Johnson,$-0.80,$0.80,-100.0
1029 Tyler Conklin,$-0.40,$0.40,-100.0

Total ROI
TotalWon,TotalRisked,TotalROI
-4.05,6.6,-61.36
,,,
Total Win Percentage
TotalBetsWon,TotalBetsLost,gamblerzscore,winning_pct
2,25,-4.43,5.93

