Rank,Name,Team,Position,PosRank
1,Ronald Acuña,ATL,OF,1
2,Bobby Witt,KC,SS,1
3,Fernando Tatis,SD,OF,2
4,Julio Rodríguez,SEA,OF,3
5,Kyle Tucker,HOU,OF,4
6,Corbin Carroll,ARI,OF,5
7,Spencer Strider,ATL,SP,1
8,Freddie Freeman,LAD,1B,1
9,Trea Turner,PHI,SS,2
10,Bryce Harper,PHI,1B,2
11,Mookie Betts,LAD,2B,1
12,Shohei Ohtani,LAD,DH,3
13,José Ramírez,CLE,3B,1
14,Juan Soto,NYY,OF,7
15,Gerrit Cole,NYY,SP,2
16,Corbin Burnes,BAL,SP,3
17,Aaron Judge,NYY,OF,8
18,Yordan Alvarez,HOU,OF,9
19,Matt Olson,ATL,1B,3
20,Austin Riley,ATL,3B,2
21,Rafael Devers,BOS,3B,3
22,Pete Alonso,NYM,1B,4
23,Francisco Lindor,NYM,SS,4
24,Luis Robert,CWS,OF,10
25,Michael Harris,ATL,OF,11
26,Ozzie Albies,ATL,2B,2
27,Corey Seager,TEX,SS,5
28,Luis Castillo,SEA,SP,4
29,Zack Wheeler,PHI,SP,5
30,Kevin Gausman,TOR,SP,6
31,Tyler Glasnow,LAD,SP,7
32,Pablo López,MIN,SP,8
33,Zac Gallen,ARI,SP,9
34,Adolis García,TEX,OF,12
35,Marcus Semien,TEX,2B,3
36,Randy Arozarena,TB,OF,13
37,Gunnar Henderson,BAL,SS,6
38,Nolan Jones,COL,1B,5
39,Matt McLain,CIN,2B,4
40,Jose Altuve,HOU,2B,5
41,Bo Bichette,TOR,SS,8
42,Manny Machado,SD,3B,5
43,Elly De La Cruz,CIN,SS,9
44,Vladimir Guerrero,TOR,1B,6
45,CJ Abrams,WSH,SS,10
46,Cody Bellinger,CHC,1B,7
47,J.T. Realmuto,PHI,C,1
48,Adley Rutschman,BAL,C,2
49,Devin Williams,MIL,RP,1
50,Edwin Díaz,NYM,RP,2
51,Josh Hader,HOU,RP,3
52,Raisel Iglesias,ATL,RP,4
53,David Bednar,PIT,RP,5
54,Camilo Doval,SF,RP,6
55,Emmanuel Clase,CLE,RP,7
56,Freddy Peralta,MIL,SP,10
57,Aaron Nola,PHI,SP,11
58,Framber Valdez,HOU,SP,12
59,Kodai Senga,NYM,SP,13
60,Grayson Rodriguez,BAL,SP,14
61,Blake Snell,undefined,SP,15
62,Zach Eflin,TB,SP,16
63,Logan Gilbert,SEA,SP,17
64,Bobby Miller,LAD,SP,18
65,Eury Pérez,MIA,SP,19
66,Tarik Skubal,DET,SP,20
67,Yoshinobu Yamamoto,LAD,SP,21
68,Logan Webb,SF,SP,22
69,George Kirby,SEA,SP,23
70,Max Fried,ATL,SP,24
71,Royce Lewis,MIN,3B,7
72,Mike Trout,LAA,OF,16
73,Jazz Chisholm,MIA,OF,17
74,Kyle Schwarber,PHI,OF,18
75,Ha-Seong Kim,SD,2B,6
76,Lane Thomas,WSH,OF,19
77,Josh Lowe,TB,OF,20
78,Christian Walker,ARI,1B,8
79,Bryan Reynolds,PIT,OF,21
80,Alex Bregman,HOU,3B,9
81,Nolan Arenado,STL,3B,10
82,Oneil Cruz,PIT,SS,12
83,Christian Yelich,MIL,OF,22
84,Nico Hoerner,CHC,2B,7
85,Paul Goldschmidt,STL,1B,9
86,Yandy Díaz,TB,1B,10
87,William Contreras,MIL,C,3
88,Yainer Diaz,HOU,C,4
89,Will Smith,LAD,C,5
90,Alexis Díaz,CIN,RP,8
91,Jhoan Duran,MIN,RP,9
92,Jordan Romano,TOR,RP,10
93,Ryan Helsley,STL,RP,11
94,Cole Ragans,KC,SP,25
95,Jesús Luzardo,MIA,SP,26
96,Nick Castellanos,PHI,OF,23
97,TJ Friedl,CIN,OF,24
98,Jordan Walker,STL,OF,25
99,George Springer,TOR,OF,26
100,Jorge Soler,SF,OF,27
101,James Outman,LAD,OF,28
102,Ian Happ,CHC,OF,29
103,Seiya Suzuki,CHC,OF,30
104,Teoscar Hernández,LAD,OF,31
105,Marcell Ozuna,ATL,DH,25
106,Evan Carter,TEX,OF,32
107,Spencer Torkelson,DET,1B,11
108,Triston Casas,BOS,1B,12
109,Josh Naylor,CLE,1B,13
110,Gleyber Torres,NYY,2B,8
111,Zack Gelof,OAK,2B,9
112,Ketel Marte,ARI,2B,10
113,Andrés Giménez,CLE,2B,11
114,Dansby Swanson,CHC,SS,14
115,Xander Bogaerts,SD,SS,15
116,Spencer Steer,CIN,3B,11
117,Sonny Gray,STL,SP,27
118,Joe Ryan,MIN,SP,28
119,Tanner Bibee,CLE,SP,29
120,Joe Musgrove,SD,SP,30
121,Dylan Cease,CWS,SP,31
122,Jordan Montgomery,undefined,SP,32
123,Justin Steele,CHC,SP,33
124,Yu Darvish,SD,SP,34
125,Chris Bassitt,TOR,SP,35
126,Paul Sewald,ARI,RP,13
127,Andrés Muñoz,SEA,RP,14
128,Evan Phillips,LAD,RP,15
129,Pete Fairbanks,TB,RP,16
130,Adbert Alzolay,CHC,RP,17
131,Craig Kimbrel,BAL,RP,18
132,Kenley Jansen,BOS,RP,19
133,Clay Holmes,NYY,RP,20
134,Jonah Heim,TEX,C,6
135,Francisco Alvarez,NYM,C,7
136,Logan O'Hoppe,LAA,C,8
137,Rhys Hoskins,MIL,1B,14
138,Isaac Paredes,TB,1B,15
139,Vinnie Pasquantino,KC,1B,16
140,Nolan Gorman,STL,2B,13
141,Thairo Estrada,SF,2B,14
142,Bryson Stott,PHI,2B,15
143,Anthony Volpe,NYY,SS,17
144,Willy Adames,MIL,SS,18
145,Jake Burger,MIA,3B,14
146,Noelvi Marte,CIN,3B,15
147,Cedric Mullins,BAL,OF,33
148,Masataka Yoshida,BOS,OF,34
149,Jarren Duran,BOS,OF,35
150,Daulton Varsho,TOR,OF,36
151,Chas McCormick,HOU,OF,37
152,Riley Greene,DET,OF,38
153,Jackson Chourio,MIL,OF,39
154,Anthony Santander,BAL,OF,40
155,Esteury Ruiz,OAK,OF,41
156,Carlos Rodón,NYY,SP,36
157,Shane Baz,TB,SP,37
158,Justin Verlander,HOU,SP,38
159,Chris Sale,ATL,SP,39
160,Max Scherzer,TEX,SP,40
161,Walker Buehler,LAD,SP,41
162,José Leclerc,TEX,RP,21
163,Robert Suarez,SD,RP,22
164,Tanner Scott,MIA,RP,23
165,José Alvarado,PHI,RP,24
166,Kyle Finnegan,WSH,RP,25
167,Alex Lange,DET,RP,26
168,John Brebbia,CWS,RP,27
169,Robert Stephenson,LAA,RP,28
170,Carlos Estévez,LAA,RP,29
171,Cal Raleigh,SEA,C,9
172,Gabriel Moreno,ARI,C,10
173,Sean Murphy,ATL,C,11
174,Nathaniel Lowe,TEX,1B,17
175,Anthony Rizzo,NYY,1B,18
176,Edouard Julien,MIN,2B,16
177,Carlos Correa,MIN,SS,19
178,Jeremy Peña,HOU,SS,20
179,Alec Bohm,PHI,3B,16
180,Max Muncy,LAD,3B,17
181,Taylor Ward,LAA,OF,42
182,Jack Suwinski,PIT,OF,43
183,Eloy Jiménez,CWS,OF,44
184,Kerry Carpenter,DET,OF,45
185,Lourdes Gurriel,ARI,OF,46
186,Tyler O'Neill,BOS,OF,47
187,Starling Marte,NYM,OF,48
188,Lars Nootbaar,STL,OF,49
189,J.D. Martinez,undefined,DH,38
190,Michael King,SD,SP,42
191,Gavin Williams,CLE,SP,43
192,Bryce Miller,SEA,SP,44
193,Hunter Brown,HOU,SP,45
194,Brandon Pfaadt,ARI,SP,46
195,Paul Skenes,PIT,SP,47
196,Bo Naylor,CLE,C,12
197,Keibert Ruiz,WSH,C,13
198,Willson Contreras,STL,C,14
199,Salvador Perez,KC,C,15
200,Brandon Drury,LAA,1B,20
201,Andrew Vaughn,CWS,1B,21
202,Justin Turner,TOR,1B,22
203,Christian Encarnacion-Strand,CIN,1B,23
204,Christopher Morel,CHC,2B,19
205,Gavin Lux,LAD,2B,20
206,Jonathan India,CIN,2B,21
207,Luis Arraez,MIA,2B,22
208,Jorge Polanco,SEA,2B,23
209,J.P. Crawford,SEA,SS,21
210,Ezequiel Tovar,COL,SS,22
211,Trevor Story,BOS,SS,23
212,Maikel Garcia,KC,3B,19
213,Ke'Bryan Hayes,PIT,3B,20
214,Matt Chapman,undefined,3B,21
215,Eugenio Suárez,ARI,3B,22
216,Josh Jung,TEX,3B,23
217,Hunter Goodman,COL,OF,52
218,Jose Siri,TB,OF,53
219,Brandon Nimmo,NYM,OF,54
220,Jung Hoo Lee,SF,OF,55
221,Nelson Velázquez,KC,OF,56
222,Leody Taveras,TEX,OF,57
223,Parker Meadows,DET,OF,58
224,Giancarlo Stanton,NYY,OF,59
225,Brent Rooker,OAK,OF,60
226,Alex Verdugo,NYY,OF,61
227,Jarred Kelenic,ATL,OF,62
228,Eduardo Rodriguez,ARI,SP,48
229,Ryan Pepiot,TB,SP,49
230,Bailey Ober,MIN,SP,50
231,Braxton Garrett,MIA,SP,51
232,Cristian Javier,HOU,SP,52
233,Nick Pivetta,BOS,SP,53
234,Lucas Giolito,BOS,SP,54
235,Merrill Kelly,ARI,SP,55
236,Mitch Keller,PIT,SP,56
237,Kyle Harrison,SF,SP,57
238,Hunter Greene,CIN,SP,58
239,Charlie Morton,ATL,SP,59
240,José Berríos,TOR,SP,60
241,Shota Imanaga,CHC,SP,61
242,James Paxton,LAD,SP,62
243,Cristopher Sánchez,PHI,SP,63
244,Triston McKenzie,CLE,SP,64
245,Shane Bieber,CLE,SP,65
246,Ryan Jeffers,MIN,C,16
247,MJ Melendez,KC,C,17
248,Danny Jansen,TOR,C,18
249,Luis Campusano,SD,C,19
250,Mitch Garver,SEA,C,20
251,Josh Bell,MIA,1B,24
252,Jeimer Candelario,CIN,1B,25
253,Ty France,SEA,1B,26
254,José Abreu,HOU,1B,27
255,C.J. Cron,LAA,1B,28
256,Ryan Mountcastle,BAL,1B,29
257,Brandon Lowe,TB,2B,24
258,Brendan Donovan,STL,2B,25
259,Jeff McNeil,NYM,2B,26
260,Jordan Westburg,BAL,2B,27
261,Tommy Edman,STL,2B,28
262,Vaughn Grissom,BOS,SS,25
263,Zach Neto,LAA,SS,26
264,Javier Báez,DET,SS,27
265,Colt Keith,DET,3B,26
266,Ryan McMahon,COL,3B,27
