Name,Team,xERA,K-BB%,Barrel%,CSW%,Starting,Relieving,TBF,GS,SV,xFIP-,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Wander Suero","HOU",,0,1,0.5,,0,1,0,0,77.92867335836621,188.1,137.4,137.1,"Wander Suero",15855,593833
"Miguel Sanó","LAA",0.45,0,0,0.33333333,,0.01729489490389824,1,0,0,77.92867335836621,115.43333333333334,137.86666666666667,133,"Miguel Sano",12164,593934
"Porter Hodge","CHC",0.58,0.8,0,0.66666667,,0.5671711564064026,5,0,0,-68.8981830072271,96.47333333333333,126.68,130.06,"Porter Hodge",26413,687863
"Ryan Helsley","STL",1.72,0.22222222,0.01612903,0.32026144,,8.423232078552246,90,0,16,74.24457959752499,131.55223367697593,105.55463917525773,119.07938144329897,"Ryan Helsley",18138,664854
"Trevor Megill","MIL",2.25,0.26785714,0.05714286,0.33632287,,5.836135387420654,56,0,8,79.2892777297905,155.75470852017938,101.65470852017937,116.40448430493274,"Trevor Megill",17722,656730
"Adrian Morejon","SDP",2.66,0.2875,0.04081633,0.31596091,,6.499458312988281,80,0,0,56.91666887129709,122.63583061889253,109.1231270358306,115.7589576547231,"Adrian Morejon",20039,670970
"Griffin Jax","MIN",2.19,0.25,0.06122449,0.33333333,,6.256433010101318,84,0,5,64.79637528572488,133.29171597633135,102.56863905325437,115.00976331360941,"Griffin Jax",20253,643377
"Jimmy Herget","ATL",1.22,0.25,0,0.28571429,,0.23782230913639069,4,0,0,89.74184060974976,112.25238095238096,85.86666666666667,114.85238095238095,"Jimmy Herget",17556,623474
"Yimi García","TOR",1.44,0.26470588,0.07894737,0.30384615,,5.152935981750488,68,0,2,75.668304654935,119.36806083650188,107.2102661596958,114.63878326996202,"Yimi Garcia",12095,554340
"Carlos Hernández","KCR",22.77,0,0.33333333,0.36363636,,0.046781834214925766,3,0,0,186.90011485479152,133.65454545454548,104.73636363636363,114.24545454545455,"Carlos Hernandez",22713,672578
"Emmanuel Clase","CLE",2.25,0.25531915,0.04615385,0.29752066,,10.708843231201172,94,0,16,56.73945140974174,146.69917127071824,105.9337016574586,114.09198895027627,"Emmanuel Clase",21032,661403
"Paul Sewald","ARI",1.08,0.24,0.05882353,0.25274725,,1.9207265377044678,25,0,4,85.61829777951418,114.85824175824176,107.1626373626374,113.67472527472528,"Paul Sewald",13892,623149
"Yoendrys Gómez","NYY",0,1,,0.69230769,,0.3832997679710388,3,0,0,-75.95598131871498,97.26923076923077,119.22307692307693,113.30000000000001,"Yoendrys Gomez",22872,672782
"Orion Kerkering","PHI",2.74,0.15625,0.02272727,0.32234432,,3.330765962600708,64,0,0,90.03875593661017,127.9128205128205,104.18205128205128,113.03076923076921,"Orion Kerkering",31776,689147
"Jared Jones","PIT",3.21,0.25108225,0.09210526,0.32318501,9.669873237609863,,231,10,0,74.27066580602701,132.31618705035973,104.89916067146288,112.786690647482,"Jared Jones",27863,683003
"Tyson Miller","- - -",3.35,0.24242424,0.10869565,0.27038627,,1.4160252660512924,66,0,0,85.43776615923414,115.26980716091481,109.20478276206714,112.45498853548122,"Tyson Miller",19976,668338
"Anthony Banda","LAD",1.35,0.22222222,0,0.2,,0.9886049032211304,9,0,0,68.62531112635814,84.12999999999998,115.17666666666668,112.40666666666667,"Anthony Banda",14706,607455
"Brooks Raley","NYM",3,0.24,0.15384615,0.28571429,,2.731154680252075,25,0,0,87.6800703159427,103.89430894308943,108.11544715447154,112.38861788617889,"Brooks Raley",10061,548384
"Spencer Strider","ATL",4.28,0.16666667,0.12,0.30337079,0.07361762970685959,,42,2,0,97.52336368807006,116.42444444444445,106.57333333333334,112.27555555555554,"Spencer Strider",27498,675911
"Hunter Gaddis","CLE",2.74,0.21649485,0.04545455,0.3125,,6.937081336975098,97,0,0,85.67927869167491,108.94119318181819,107.79147727272729,112.27301136363636,"Hunter Gaddis",25636,683769
"Andrew Kittredge","STL",3.16,0.20481928,0.03703704,0.2852459,,2.670067548751831,83,0,0,76.49788981921863,116.11890034364261,103.49037800687286,112.02783505154638,"Andrew Kittredge",12828,552640
"Jesus Tinoco","TEX",4.55,0.2,0,0.275,,-0.8025535345077515,10,0,0,60.52073662683784,127.45249999999999,108.18999999999998,111.93249999999998,"Jesus Tinoco",16300,622786
"Matt Strahm","PHI",2.74,0.37333333,0.09302326,0.33660131,,10.586043357849121,75,0,0,45.34510223991756,103.47177700348433,111.19128919860628,111.90313588850174,"Matt Strahm",13799,621381
"Josh Maciejewski","NYY",1.1,0,0,0,,0.05044829472899437,3,0,0,77.92867335836621,87.94999999999999,122.05,111.55000000000001,"Josh Maciejewski",21310,656671
"Paul Skenes","PIT",2.96,0.27419355,0.05555556,0.3032491,4.588604927062988,,62,3,0,57.42378606990278,112.38916967509024,104.81227436823106,111.47509025270759,"Paul Skenes",33677,694973
"Michael Kopech","CHW",3.94,0.18627451,0.07692308,0.31944444,,-2.61944580078125,102,0,5,96.97386194488635,143.38513189448446,102.37290167865707,111.41606714628297,"Michael Kopech",17282,656629
"Daysbel Hernández","ATL",6.22,0,0,0.24242424,,0.30102184414863586,10,0,0,126.82878092844913,134.4878787878788,105.15454545454546,111.04848484848485,"Daysbel Hernandez",20271,678226
"Isaiah Campbell","BOS",6.1,0.09090909,0.07692308,0.2293578,,-2.3958327770233154,33,0,0,90.40698441248247,147.24563106796114,95.83786407766989,110.68252427184466,"Isaiah Campbell",25551,663462
"Hunter Strickland","LAA",2.4,0.18518519,0.03333333,0.26363636,,5.027566909790039,81,0,0,87.72932874245465,106.50795107033636,103.58807339449544,110.45779816513766,"Hunter Strickland",7836,519326
"Corbin Burnes","BAL",2.94,0.18773946,0.07303371,0.30282376,14.614506721496582,,261,11,0,76.71598685394764,118.87543859649122,104.64532163742692,110.42670565302143,"Corbin Burnes",19361,669203
"Grae Kessinger","HOU",3.45,0,0,0.36363636,,0.04884965717792511,3,0,0,150.57630102264974,2.3,116.2,110.4,"Grae Kessinger",25813,666197
"Ryan Thompson","ARI",1.82,0.20481928,0.01612903,0.30584192,,8.014220237731934,83,0,0,67.71717372935497,110.86446886446883,104.96080586080585,110.32307692307693,"Ryan Thompson",16647,657044
"Nick Pivetta","BOS",4.17,0.23529412,0.11111111,0.27489177,2.0533831119537354,,119,6,0,81.54897918164417,137.99632034632035,107.20303030303029,110.13571428571429,"Nick Pivetta",15454,601713
"Jonathan Loáisiga","NYY",4.08,0.1,0,0.27868852,,1.3231582641601562,20,0,0,76.85499843980195,103.43934426229507,105.80491803278689,110.06557377049181,"Jonathan Loaisiga",19753,642528
"Kenley Jansen","BOS",4.08,0.15277778,0.125,0.28673835,,4.422621250152588,72,0,8,103.30877434431602,125.69230769230768,104.19384615384614,110.05961538461541,"Kenley Jansen",3096,445276
"Mason Miller","OAK",0.99,0.46428571,0,0.41833811,,14.516777038574219,84,0,10,15.013286229174264,150.95329512893983,105.39312320916902,109.9246418338109,"Mason Miller",31757,695243
"Ricky Vanasco","LAD",1.69,0.16666667,0,0.25,,0.2552378475666046,6,0,0,72.2334136835291,120.17999999999999,107.8,109.78000000000002,"Ricky Vanasco",23391,676568
"Josh Rojas","SEA",11.19,-0.25,0.16666667,0.22222222,,-0.8856839537620544,8,0,0,227.51862836119034,-34.68571428571429,80.51428571428572,109.44285714285714,"Josh Rojas",19734,668942
"Trent Thornton","SEA",2.96,0.17241379,0.04918033,0.29846154,,4.22417688369751,87,0,0,87.23600479579817,114.39799426934097,103.08108882521489,109.23094555873924,"Trent Thornton",17948,663423
"Ryne Stanek","SEA",3.65,0.14102564,0.0754717,0.25559105,,1.9443976879119873,78,0,2,114.12263304148968,135.08283828382838,97.68811881188118,109.20495049504953,"Ryne Stanek",15947,592773
"Ryan Pressly","HOU",3.55,0.21590909,0.0877193,0.31232092,,3.0892350673675537,88,0,0,65.53882063157256,124.63237822349573,100.11346704871062,109.18710601719192,"Ryan Pressly",7005,519151
"Robert Suarez","SDP",2.52,0.20253165,0.09433962,0.25163399,,6.2477264404296875,79,0,14,95.02829507707588,136.81274509803924,103.97091503267973,108.98888888888887,"Robert Suarez",30115,663158
"Janson Junk","MIL",5.98,0.07407407,0.04347826,0.18811881,,-0.21122422814369202,27,0,0,106.6350621318912,94.21584158415841,108.50594059405941,108.96435643564358,"Janson Junk",23301,676083
"Justin Martinez","ARI",2.83,0.11864407,0,0.31800766,,1.0686038732528687,59,0,0,92.39506794645855,112.81800766283521,105.07509578544061,108.84750957854405,"Justin Martinez",24453,679885
"Zack Wheeler","PHI",2.76,0.20220588,0.06395349,0.28954672,17.137380599975586,,272,11,0,82.82042621199194,102.94588344125808,105.28427382053654,108.77530064754853,"Zack Wheeler",10310,554430
"David Bednar","PIT",4.43,0.17708333,0.09230769,0.2835443,,0.8445774912834167,96,0,11,103.1947943126542,127.79187817258881,100.56421319796954,108.64035532994924,"David Bednar",19569,670280
"Hunter Harvey","WSN",3.07,0.2254902,0.01538462,0.29577465,,7.869869232177734,102,0,0,65.97263627617484,109.91009389671362,104.78333333333336,108.57441314553992,"Hunter Harvey",15507,640451
"Josh Hader","HOU",2.52,0.30769231,0.06666667,0.3241206,,5.968723297119141,91,0,7,49.20812369452083,120.45201005025127,97.4359296482412,108.52713567839197,"Josh Hader",14212,623352
"Clay Holmes","NYY",2.76,0.20618557,0.04761905,0.33613445,,7.680817604064941,97,0,15,60.91936340666456,128.81536388140165,101.94501347708892,108.46145552560647,"Clay Holmes",13649,605280
"Anthony Bender","MIA",5.58,0.18367347,0.09677419,0.30487805,,1.1543408632278442,98,0,0,89.29264849685616,118.77603686635948,102.08986175115207,108.43502304147462,"Anthony Bender",19742,669622
"Tanner Houck","BOS",3.26,0.19455253,0.03932584,0.31529657,19.014602661132812,,257,10,0,70.36008300529286,108.74083333333336,102.83583333333331,108.38187500000002,"Tanner Houck",19879,656557
"Nick Martinez","CIN",3.26,0.13513514,0.02739726,0.25667656,4.369922637939453,5.827023983001709,185,5,0,108.9037072986734,101.16275964391691,109.58160237388724,108.08456973293768,"Nick Martinez",12730,607259
"Scott Alexander","OAK",2.7,0.25,0.16666667,0.3,,-0.8462830185890198,8,0,0,49.528962473503846,87.82666666666667,117.42666666666668,108.06,"Scott Alexander",10591,518397
"Evan Phillips","LAD",2.38,0.23636364,0,0.32300885,,5.024363994598389,55,0,8,67.83329122062219,123.21814159292033,104.33893805309732,107.97433628318586,"Evan Phillips",17734,623465
"Tanner Bibee","CLE",4.05,0.18292683,0.08536585,0.27081244,7.689477920532227,,246,11,0,93.90971607714621,102.34287148594379,104.99748995983937,107.85993975903612,"Tanner Bibee",30134,676440
"Edwin Díaz","NYM",3.09,0.27058824,0.10638298,0.32571429,,-1.1460565328598022,85,0,5,68.2112953420518,114.1610465116279,96.71424418604651,107.7735465116279,"Edwin Diaz",14710,621242
"Daniel Hudson","LAD",2.76,0.28378378,0.09803922,0.27522936,,1.1725614070892334,74,0,3,69.03351046452639,104.7669724770642,107.92599388379207,107.72354740061164,"Daniel Hudson",7146,543339
"Yennier Cano","BAL",4.28,0.12371134,0.06060606,0.27733333,,-3.4708495140075684,97,0,2,81.97835025266158,125.29839999999999,109.41200000000002,107.69653333333332,"Yennier Cano",25911,666974
"Cade Smith","CLE",2.5,0.29347826,0.06,0.35040431,,6.856537818908691,92,0,1,51.359209425052136,125.40492610837437,102.26330049261081,107.67586206896549,"Cade Smith",27867,671922
"Gus Varland","LAD",8.79,-0.03333333,0.09090909,0.28225806,,-1.0958878993988037,30,0,0,169.06184897728394,108.40960000000001,103.8696,107.65600000000002,"Gus Varland",24737,681402
"Chris Roycroft","STL",5.19,0.06896552,0.05555556,0.26229508,,-0.7760389447212219,29,0,0,115.15650198642575,134.56967213114754,101.81967213114754,107.63934426229508,"Chris Roycroft",31261,688297
"Sam Long","KCR",1.18,0.33333333,0.25,0.31034483,,0.33730801939964294,6,0,0,81.11950921421847,96.08965517241379,104.60344827586206,107.59655172413794,"Sam Long",25379,669674
"Bryan Woo","SEA",1.95,0.23636364,0,0.33027523,5.2784857749938965,,55,3,0,73.4170937353077,106.55514018691588,109.61168224299064,107.57803738317757,"Bryan Woo",30279,693433
"Michael Grove","LAD",3,0.22807018,0.07936508,0.30504587,-0.6908550262451172,4.318500995635986,114,1,0,82.0238799661142,102.88721701537852,101.2954111939806,107.52580192726552,"Michael Grove",23221,675627
"Randy Rodríguez","SFG",1.74,0.25,0.02941176,0.27350427,,3.449799060821533,56,0,0,74.33924535063589,119.36239316239316,101.08247863247863,107.52094017094018,"Randy Rodriguez",23974,678495
"Logan Gillaspie","SDP",2.56,0.36363636,0,0.31914894,,0.4809665083885193,11,0,0,59.35357383612886,103.12978723404257,112.72340425531915,107.47659574468085,"Logan Gillaspie",22461,670810
"Tarik Skubal","DET",2.42,0.26839827,0.08108108,0.32438479,17.963830947875977,,231,10,0,63.172337281860436,105.04585253456223,104.19320276497697,107.42972350230414,"Tarik Skubal",22267,669373
"Stephen Kolek","SDP",4.52,0.11650485,0.05333333,0.26952141,,0.752371072769165,103,0,0,93.11083957813383,103.89164556962024,107.44911392405062,107.3030379746835,"Stephen Kolek",21487,663568
"Chris Martin","BOS",3.26,0.27027027,0.04166667,0.31095406,,3.25766658782959,74,0,0,67.41763871197855,105.3887596899225,110.09108527131784,107.23914728682168,"Chris Martin",11847,455119
"Sonny Gray","STL",3.18,0.25925926,0.07563025,0.325,9.670247077941895,,189,8,0,66.02651953168044,102.50367647058822,104.78191176470588,107.19220588235297,"Sonny Gray",12768,543243
"Jason Foley","DET",4.37,0.10843374,0.06666667,0.28382838,,2.5878684520721436,83,0,11,91.28810047853618,102.47530487804879,104.5551829268293,107.14634146341466,"Jason Foley",19531,671345
"Cody Poteet","NYY",2.85,0.17391304,0,0.24358974,0.5773338675498962,,23,1,0,74.00192829024408,83.91428571428573,112.19090909090909,107.04935064935064,"Cody Poteet",18769,547001
"Pierce Johnson","ATL",2.7,0.2,0.05263158,0.31439394,,2.230226755142212,65,0,1,78.45764910386288,137.97279999999998,102.05479999999999,106.9672,"Pierce Johnson",13435,572955
"Dylan Cease","SDP",3.12,0.23754789,0.10126582,0.30330882,16.28901481628418,,261,11,0,81.41524910557146,120.35018382352942,100.57656250000002,106.89292279411768,"Dylan Cease",18525,656302
"Kevin Gausman","TOR",4.89,0.18957346,0.09722222,0.28458943,9.44879150390625,,211,10,0,80.04122680816323,97.44547738693467,106.00904522613067,106.88881909547737,"Kevin Gausman",14107,592332
"Tyler Glasnow","LAD",2.44,0.26819923,0.07006369,0.2956778,17.993160247802734,,261,11,0,61.75952629384495,116.5155818540434,102.47386587771202,106.82899408284021,"Tyler Glasnow",14374,607192
