Date,Player,Team,Receptions,Amount,Odds,Result,bet_group
2023-10-22,Darnell Mooney,CHI,4,0.4,360,L,1022 Darnell Mooney
2023-10-22,Darnell Mooney,CHI,5,0.2,925,L,1022 Darnell Mooney
2023-10-22,Darnell Mooney,CHI,6,0.2,1600,L,1022 Darnell Mooney
2023-10-22,Mark Andrews,BAL,6,0.6,215,L,1022 Mark Andrews
2023-10-22,Mark Andrews,BAL,7,0.2,425,L,1022 Mark Andrews
2023-10-22,Mark Andrews,BAL,8,0.2,825,L,1022 Mark Andrews
2023-10-22,Michael Mayer,LV,4,0.2,390,L,1022 Michael Mayer
2023-10-22,Michael Mayer,LV,5,0.2,1025,L,1022 Michael Mayer
2023-10-22,Luke Musgrave,GB,5,0.4,240,L,1022 Luke Musgrave
2023-10-22,Luke Musgrave,GB,6,0.2,525,L,1022 Luke Musgrave
2023-10-22,Luke Musgrave,GB,7,0.2,1125,L,1022 Luke Musgrave
2023-10-29,Tyler Conklin,NYJ,5,0.2,330,L,1029 Tyler Conklin
2023-10-29,Tyler Conklin,NYJ,6,0.2,725,L,1029 Tyler Conklin
2023-10-29,Odell Beckham,BAL,5,0.2,450,L,1029 Odell Beckham
2023-10-29,Odell Beckham,BAL,6,0.2,1075,L,1029 Odell Beckham
2023-10-29,Darnell Mooney,CHI,4,0.4,215,L,1029 Darnell Mooney
2023-10-29,Darnell Mooney,CHI,5,0.2,500,L,1029 Darnell Mooney
2023-10-29,Darnell Mooney,CHI,6,0.2,1125,L,1029 Darnell Mooney
2023-10-29,Michael Gallup,DAL,6,0.2,725,L,1029 Michael Gallup
2023-10-29,Emari Demarcado,ARI,5,0.2,825,L,1029 Emari Demarcado
2023-10-29,Cam Akers,MIN,4,0.2,1225,L,1029 Cam Akers
2023-10-29,Breece Hall,NYJ,5,0.2,525,W,1029 Breece Hall
2023-10-29,Demario Douglas,NE,5,0.2,550,W,1029 Demario Douglas
2023-10-29,Jauan Jennings,SF,5,0.2,525,L,1029 Jauan Jennings
2023-10-29,Roschon Johnson,CHI,4,0.4,360,L,1029 Roschon Johnson
2023-10-29,Roschon Johnson,CHI,5,0.2,925,L,1029 Roschon Johnson
2023-10-29,Roschon Johnson,CHI,6,0.2,1600,L,1029 Roschon Johnson
