Group,Name,Team,Position,Service Time,Total Z-Score,LRank,ADP
A,Aaron Judge,NYY,OF,7,31.69,17.0,9.0
A,Gerrit Cole,NYY,SP,10,25.3,15.0,17.0
A,Luis Castillo,SEA,SP,7,23.97,28.0,32.0
B,Hunter Greene,CIN,SP,1,22.4,238.0,144.0
B,Nolan Gorman,STL,2B,2,14.5,140.0,165.0
A,Pete Alonso,NYM,1B,5,14.19,22.0,22.0
B,David Bednar,PIT,RP,3,12.47,53.0,93.0
B,Jarred Kelenic,ATL,OF,3,6.85,227.0,202.0
A,Justin Verlander,HOU,SP,17,6.83,158.0,117.0
A,Teoscar Hernandez,LAD,OF,7,6.74,104.0,120.0
B,Brandon Pfaadt,ARI,SP,1,5.36,194.0,213.0
C,Jackson Holliday,BAL,SS,0,0.0,288.0,231.0
B,Shota Imanaga,CHC,SP,1,0.0,241.0,229.0
A,Max Fried,ATL,SP,6,-3.88,70.0,59.0
